"Début du rapport","Compte-rendu terminé","Nom de la campagne","Diffusion des campagnes",Résultats,"Indicateur de résultats","Coût par résultats","Budget des ensembles de publicités","Type de budget ensemble de pub","Montant dépensé (CAD)",Impressions,Portée,Fréquence,"CPM (Coût pour 1 000 impressions) (CAD)",Achats,Fin,"Paramètre d’attribution","ROAS des achats (retour sur les dépenses publicitaires)","Résultats (initiaux)","Indicateur de résultats (initial)"
2026-06-21,2026-07-20,"couverture Ambrosia Tornhill",inactive,0,reach,,5,"Par jour",0,0,0,0,0,,"En cours","clic à 7 jours et vue à 1 jour",,,
2026-06-21,2026-07-20,"Remarketing FR",inactive,,,,5,"Par jour",0,0,0,0,0,,"En cours","clic à 7 jours et vue à 1 jour",,,
2026-06-21,2026-07-20,"Remarketing EN",inactive,,,,5,"Par jour",0,0,0,0,0,,"En cours","clic à 7 jours et vue à 1 jour",,,
2026-06-21,2026-07-20,"TOF- BROAD. WIRES AGENCY",inactive,,,,15,"Par jour",0,0,0,0,0,,"En cours","clic à 7 jours",,,
2026-06-21,2026-07-20,"TOF- BROAD. WIRES AGENCY - awareness",inactive,,,,18,"Par jour",0,0,0,0,0,,"En cours","clic à 7 jours et vue à 1 jour",,,
2026-06-21,2026-07-20,"TOF- BROAD. WIRES AGENCY - awareness - octobre",inactive,,,,20,"Par jour",0,0,0,0,0,,"En cours","clic à 7 jours et vue à 1 jour",,,
2026-06-21,2026-07-20,"MOF-WIRES AGENCY - Copie",inactive,,,,12,"Par jour",0,0,0,0,0,,"En cours","clic à 7 jours",,,
2026-06-21,2026-07-20,"VIDÉO HISTOIRE",inactive,,,,10,"Par jour",0,0,0,0,0,,"En cours","clic à 7 jours et vue à 1 jour",,,
2026-06-21,2026-07-20,"Remarketing - New",inactive,0,reach,,10,"Par jour",0,0,0,0,0,,"En cours","clic à 7 jours et vue à 1 jour",,,
2026-06-21,2026-07-20,"Retargeting - New",inactive,0,reach,,7,"Par jour",0,0,0,0,0,,"En cours","clic à 7 jours et vue à 1 jour",,,
2026-06-21,2026-07-20,"3 super plantes",inactive,,,,5,"Par jour",0,0,0,0,0,,"En cours","clic à 7 jours et vue à 1 jour",,,
2026-06-21,2026-07-20,"Pub Costco - 20%",inactive,0,reach,,15,"Par jour",0,0,0,0,0,,"En cours","clic à 7 jours et vue à 1 jour",,,
2026-06-21,2026-07-20,"20% - PROMO BACKTOSCHOOL",inactive,0,reach,,10,"Par jour",0,0,0,0,0,,"En cours","clic à 7 jours et vue à 1 jour",,,
2026-06-21,2026-07-20,"MOF | Retargeting",inactive,,,,"Utilisation du budget de l’ensemble de publicités",0,0,0,0,0,0,,"En cours","clic à 7 jours et vue à 1 jour",,,
2026-06-21,2026-07-20,"Campagne Promo - Nature's Emporium - Froide Trafic",inactive,,,,17,"Par jour",0,0,0,0,0,,"En cours","clic à 7 jours et vue à 1 jour",,,
2026-06-21,2026-07-20,"Avril Nov'23 - Audience Froide Interactions",inactive,,,,8,"Par jour",0,0,0,0,0,,"En cours","clic à 7 jours et vue à 1 jour",,,
2026-06-21,2026-07-20,"Campagne Funnel Ontario - Notoriété",inactive,,,,"Utilisation du budget de l’ensemble de publicités",0,0,0,0,0,0,,"En cours","clic à 7 jours et vue à 1 jour",,,
2026-06-21,2026-07-20,"Avril Nov'23 - Audience Chaude Get Directions",inactive,0,reach,,17,"Par jour",0,0,0,0,0,,"En cours","clic à 7 jours et vue à 1 jour",,,
2026-06-21,2026-07-20,"Campagne Funnel - Achats",inactive,,,,15,"Par jour",0,0,0,0,0,,"En cours","clic à 7 jours et vue à 1 jour",,,
2026-06-21,2026-07-20,"Campagne Funnel - Achats 2024",inactive,,,,"Utilisation du budget de l’ensemble de publicités",0,0,0,0,0,0,,"En cours","clic à 7 jours et vue à 1 jour",,,
2026-06-21,2026-07-20,"TOF | Geolocalisation",inactive,,,,"Utilisation du budget de l’ensemble de publicités",0,0,0,0,0,0,,"En cours","clic à 7 jours et vue à 1 jour",,,
2026-06-21,2026-07-20,"TOF | Geolocalisation - VV",inactive,,,,"Utilisation du budget de l’ensemble de publicités",0,0,0,0,0,0,,"En cours","clic à 7 jours et vue à 1 jour",,,
2026-06-21,2026-07-20,"Campagne Conversion - Lead Gen",inactive,,,,10,"Par jour",0,0,0,0,0,,"En cours","clic à 7 jours et vue à 1 jour",,,
2026-06-21,2026-07-20,"Campagne Conversion - Lead Gen - Copie",inactive,,,,3,"Par jour",0,0,0,0,0,,"En cours","clic à 7 jours et vue à 1 jour",,,
